city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
presidente venceslau,br,-21,-21,82,58,40,3
pyinmana,mm,19,19,68,57,0,5
nkayi,cg,-4,-4,77,84,0,3
punalur,in,9,9,82,83,20,8
gemena,cd,3,3,73,93,8,2
zadar,hr,44,44,37,59,0,1
kokopo,pg,-4,-4,80,100,44,4
baruun-urt,mn,46,46,31,77,0,12
kualakapuas,id,-3,-3,72,95,0,2
oranjestad,aw,12,12,86,70,20,20
ivankiv,ua,50,50,24,62,0,4
pinawa,ca,50,50,38,68,32,17
pelym,ru,61,61,-2,72,12,4
gore,et,8,8,69,52,64,1
pospelikha,ru,51,51,30,89,44,14
bandar,id,-4,-4,71,99,88,3
sherlovaya gora,ru,50,50,19,66,0,2
seydisehir,tr,37,37,46,88,92,7
vawkavysk,by,53,53,31,80,80,5
humaita,py,-24,-24,82,45,0,10
mirandola,it,44,44,42,64,0,9
tazovskiy,ru,67,67,-31,55,32,3
matelandia,br,-25,-25,86,66,0,12
kabare,cd,-1,-1,57,100,56,2
libenge,cd,3,3,75,92,12,1
streator,us,41,41,48,29,75,11
aykino,ru,62,62,16,84,80,2
lazi,ph,45,45,26,91,0,2
remedios,pa,22,22,73,46,20,16
mailsi,pk,29,29,67,63,0,5
ureki,ge,42,42,67,33,20,20
jiazi,cn,19,19,62,100,0,4
camalu,mx,30,30,71,37,20,9
lenger,kz,42,42,59,51,90,11
krasnokamensk,ru,50,50,19,71,0,2
surgut,ru,61,61,0,70,92,8
kijang,id,35,35,37,86,0,3
tres picos,mx,16,16,91,31,75,2
kaitangata,nz,-46,-46,56,88,24,13
maningrida,au,-12,-12,77,92,68,9
suceveni,ro,46,46,26,100,90,13
sterling,us,39,39,47,29,75,17
padang,id,0,0,81,100,32,6
liberal,us,37,37,90,10,1,20
teahupoo,pf,-17,-17,87,62,20,17
noshiro,jp,40,40,40,100,0,9
yabrud,sy,33,33,66,22,0,2
chuguyevka,ru,44,44,26,76,88,3
west allis,us,43,43,38,55,75,16
massena,us,44,44,40,44,90,6
bazarnyye mataki,ru,54,54,24,93,92,16
sorland,no,67,67,26,49,0,4
bocicoiu mare,ro,47,47,23,92,48,2
paciran,id,-6,-6,72,92,64,2
jawa,jo,12,12,85,22,0,10
zhuanghe,cn,39,39,31,100,0,2
cazones,mx,20,20,80,69,90,11
superior,us,47,47,40,86,90,6
olutanga,ph,7,7,82,100,20,9
tshikapa,cd,-6,-6,74,89,80,2
barreiras,br,-12,-12,76,82,8,3
dhangadhi,np,28,28,58,73,0,3
agua branca,br,-5,-5,77,90,88,3
kuryk,kz,43,43,39,81,20,15
chickasha,us,35,35,76,53,1,20
capinota,bo,-17,-17,87,20,75,3
nong khai,th,17,17,67,75,0,6
bryan,us,30,30,79,57,90,16
pucallpa,pe,-8,-8,80,78,75,9
durango,mx,37,37,57,32,75,27
istisu,az,40,40,39,95,20,0
bandarban,bd,22,22,66,87,0,1
jimenez,mx,8,8,95,30,20,18
kargopol,ru,61,61,7,74,0,9
terrak,no,65,65,36,74,88,12
lukovetskiy,ru,64,64,5,84,40,4
cervo,es,-22,-22,74,77,64,4
el seibo,do,18,18,80,78,75,4
acapulco,mx,16,16,82,83,5,10
lixourion,gr,38,38,51,100,80,7
sendafa,et,9,9,62,48,40,6
linqing,cn,36,36,50,76,0,8
kopavogur,is,64,64,32,74,75,10
lubumbashi,cd,-11,-11,65,91,36,4
novyy svit,ua,47,47,28,92,92,11
nhamunda,br,-2,-2,82,79,44,3
cilibia,ro,45,45,28,92,48,9
angermunde,de,53,53,37,99,75,4
lourdes,fr,13,13,90,29,0,16
penalva,br,-3,-3,76,93,92,4
vesele,ua,47,47,33,96,92,18
puerto colombia,co,10,10,82,74,40,6
